age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret
73,161.1,67.3,857.0,0.11,1377.97,13157.101646368172
44,168.2,74.9,5245.0,0.79,10000.0,32408.309271881208
71,160.3,45.5,3792.0,0.13,5000.0,17975.461375021725
62,161.9,87.7,3291.0,0.32,10000.0,16004.737730594868
18,178.0,77.6,3893.0,0.66,5000.0,10437.682759868923
65,179.5,61.5,2577.0,0.58,5000.0,500.0
22,170.8,60.9,714.0,0.46,699.57,500.0
54,170.0,61.3,2629.0,0.22,10000.0,500.0
61,175.2,58.5,1572.0,0.85,5000.0,4494.300952230585
28,161.6,81.2,500.0,0.66,10000.0,500.0
28,181.8,81.1,2847.0,0.37,518.38,22788.001263240207
24,169.1,68.1,3440.0,0.14,5000.0,18070.091787237645
42,170.2,53.4,4508.0,0.33,831.36,8464.616164954017
53,158.2,84.3,885.0,0.48,5000.0,12373.56023523041
57,158.9,57.3,3114.0,0.5,10000.0,20050.690685912497
22,155.5,85.0,1501.0,0.1,10000.0,16303.54507463377
45,188.0,87.6,1840.0,0.52,596.0,500.0
37,164.6,95.1,2050.0,0.5,5000.0,500.0
35,170.6,83.3,3911.0,0.67,5000.0,500.0
34,157.9,73.9,3821.0,0.04,1141.89,500.0
29,165.3,79.0,500.0,0.5,925.87,17137.888522770147
24,169.4,58.2,3269.0,0.45,5000.0,500.0
74,155.1,65.4,500.0,0.22,5000.0,500.0
53,181.7,56.7,2802.0,0.01,5000.0,21691.867312082977
58,181.7,59.0,832.0,0.51,5000.0,23167.904430812967
32,167.1,76.5,4635.0,0.8,10000.0,1986.2237285384024
51,152.9,70.6,500.0,0.96,10000.0,500.0
22,170.3,84.1,900.0,0.14,5000.0,500.0
58,172.7,76.4,3853.0,0.4,10000.0,500.0
49,174.6,70.0,2203.0,0.8,866.27,16750.901381517804
66,156.9,73.7,1672.0,0.12,5000.0,500.0
71,169.5,63.8,2267.0,0.12,10000.0,27822.25265661032
44,166.2,56.4,2350.0,0.08,10000.0,12238.402238366429
28,180.5,73.1,2182.0,0.02,10000.0,18547.59442206578
33,184.1,68.2,923.0,0.57,5000.0,500.0
46,180.0,80.4,2214.0,0.86,10000.0,500.0
52,166.9,66.4,1959.0,0.5,5000.0,500.0
30,184.7,82.7,2687.0,0.65,5000.0,500.0
27,183.9,60.6,1788.0,0.9,10000.0,500.0
38,182.2,92.7,2125.0,0.93,10000.0,500.0
24,172.9,42.6,1389.0,0.6,793.17,1366.7152302536567
31,151.7,72.7,2850.0,0.89,10000.0,500.0
30,153.3,66.0,1809.0,0.28,5000.0,500.0
24,171.2,80.3,4370.0,0.15,10000.0,7915.101090898372
20,161.2,37.6,4778.0,0.4,5000.0,28396.908742389693
72,171.5,97.1,725.0,0.8,10000.0,18632.93584235897
19,169.3,79.9,2124.0,0.53,5000.0,500.0
49,160.0,72.3,3422.0,0.6,5000.0,14326.37709078331
47,188.7,73.5,3838.0,0.5,5000.0,500.0
29,167.4,70.9,660.0,0.64,5000.0,500.0
64,169.6,60.7,2071.0,0.6,10000.0,16528.519173978777
75,178.4,54.2,2714.0,0.88,10000.0,4704.9737016730005
39,190.1,82.8,2783.0,0.83,577.66,12733.330382969947
60,162.6,77.6,1788.0,0.56,5000.0,10540.674784050036
31,181.1,69.4,2600.0,0.98,5000.0,6156.501558240514
26,159.7,99.5,3008.0,0.05,5000.0,500.0
28,160.2,92.5,500.0,0.4,5000.0,500.0
21,168.4,71.1,3695.0,0.17,5000.0,22775.8955135935
70,172.9,70.9,3304.0,0.28,5000.0,8853.723228062805
42,185.9,57.8,897.0,0.05,5000.0,11778.343548052928
62,184.7,67.1,4278.0,0.7,10000.0,31072.702663736723
37,181.5,91.8,3072.0,0.56,5000.0,21531.409941811824
34,174.5,75.3,2537.0,0.97,10000.0,500.0
37,164.1,74.1,4525.0,0.81,949.24,10946.391315339892
30,163.1,84.3,1295.0,0.52,5000.0,500.0
75,176.9,66.4,1859.0,0.02,547.03,500.0
34,181.6,66.8,1566.0,0.28,5000.0,1992.4825524566772
55,172.2,91.8,3929.0,0.4,5000.0,15002.912094814255
32,143.5,82.1,3770.0,0.4,5000.0,500.0
71,175.2,71.9,4747.0,0.12,5000.0,500.0
44,168.8,56.1,3214.0,0.82,5000.0,10488.968596578909
70,169.1,75.5,4602.0,0.36,5000.0,28770.26971420019
60,165.9,67.6,3203.0,0.12,944.44,500.0
70,165.1,77.1,3865.0,0.52,1128.66,37282.162849122215
54,180.3,75.4,1851.0,0.67,348.33,10767.439217607673
61,160.7,83.0,1598.0,0.39,10000.0,24759.669493278125
56,177.9,61.9,1770.0,0.83,185.52,4161.441442592443
33,168.1,88.1,1083.0,0.49,10000.0,20879.755904736496
63,183.7,56.2,3127.0,0.17,5000.0,14801.426364952236
33,193.2,42.5,3041.0,0.66,627.58,11145.183005926978
34,163.0,81.6,2741.0,0.6,5000.0,500.0
47,167.4,59.2,3059.0,0.69,5000.0,28698.200373046937
26,184.2,77.3,2663.0,0.51,748.46,500.0
46,168.0,66.4,3361.0,0.65,10000.0,16872.53990370362
40,155.4,82.9,2530.0,0.7,10000.0,500.0
43,177.3,83.2,2660.0,0.53,926.62,37114.160550787055
55,168.4,80.0,500.0,0.97,559.26,29358.17769561137
18,158.6,77.5,2023.0,0.89,1032.32,500.0
62,171.4,77.2,904.0,0.29,1065.43,6712.726721442828
45,173.3,68.6,568.0,0.51,10000.0,500.0
29,175.2,69.5,3624.0,0.21,1073.5,500.0
30,170.6,54.3,2285.0,0.07,5000.0,24341.03004691129
74,159.7,95.8,1823.0,0.26,5000.0,9958.305010076558
42,173.8,71.8,2040.0,0.29,10000.0,15699.8867602253
23,177.7,66.9,1059.0,0.72,19.16,500.0
41,179.5,65.6,2321.0,0.53,5000.0,15785.751255071553
30,179.1,71.9,5338.0700000000015,0.08,5000.0,22240.901666635506
23,162.2,72.1,3627.0,0.77,5000.0,500.0
74,171.8,61.8,1216.0,0.79,5000.0,11292.029477601953
22,190.0,63.9,1731.0,0.25,5000.0,4529.690297241665
71,155.9,37.0,4762.0,0.03,1486.62,500.0
41,175.3,73.0,3480.0,0.86,10000.0,17264.275901828485
18,168.4,73.9,4463.0,0.15,5000.0,500.0
18,170.9,61.7,1668.0,0.83,1149.82,25390.88273988203
36,193.8,73.4,974.0,0.18,650.62,500.0
41,154.1,97.5,1993.0,0.47,5000.0,1281.9229939424142
59,156.8,75.3,3359.0,0.58,5000.0,500.0
18,162.9,79.1,2863.0,0.34,1064.25,4124.384923241231
52,163.6,39.3,2217.0,0.59,5000.0,1703.2091550614111
44,159.6,84.8,3603.0,0.34,5000.0,18161.86602584039
64,170.7,71.5,3097.0,0.83,5000.0,500.0
40,169.0,63.5,2140.0,0.09,798.03,500.0
73,178.7,79.1,2777.0,0.32,1172.07,500.0
56,181.1,72.0,1075.0,0.41,10000.0,10667.772211678155
36,174.3,56.6,3619.0,0.43,10000.0,13279.43790734672
34,174.1,67.6,2597.0,0.3,1552.97,14865.32774958236
29,178.3,77.1,3152.0,0.88,5000.0,2426.265552876417
25,164.8,42.6,3243.0,0.56,522.19,500.0
59,172.1,66.4,1484.0,0.25,5000.0,17717.330429437272
41,165.8,82.8,1797.0,0.31,283.86,10146.957094539635
74,151.8,51.9,2986.0,0.74,5000.0,11837.808210233152
24,165.3,66.9,1930.0,0.32,948.83,10379.81877962131
73,166.9,69.0,4771.0,0.47,5000.0,19719.5017886146
60,167.8,39.7,2600.0,0.26,10000.0,500.0
22,189.5,92.8,1878.0,0.93,5000.0,500.0
75,160.8,68.2,4778.0,0.64,5000.0,8980.312053464007
75,160.7,89.3,2248.0,0.02,10000.0,500.0
41,163.7,84.2,3039.0,0.92,883.63,500.0
40,171.7,58.2,1899.0,0.11,5000.0,500.0
39,163.6,40.5,3230.0,0.31,10000.0,500.0
47,179.2,67.9,3789.0,0.68,5000.0,18509.20677497533
57,174.0,83.7,4207.0,0.78,5000.0,21549.82401911197
69,181.4,37.9,1435.0,0.24,5000.0,500.0
32,172.4,46.2,1861.0,0.78,5000.0,500.0
74,179.6,79.9,1998.0,0.59,5000.0,500.0
55,185.8,54.9,602.0,0.35,10000.0,5428.047793885788
